Date,open,high,low,Close,volume
2017-03-24,23.5231,23.6635,23.4398,23.5757,5617395
2017-03-27,23.5494,23.6635,23.4968,23.6021,3907367
2017-03-28,23.4266,23.5012,23.3477,23.3652,3731336
2017-03-29,23.2512,23.4047,23.2337,23.3652,3251246
2017-03-30,23.1548,23.26,23.0846,23.1986,3638091
2017-03-31,23.1723,23.3214,23.1372,23.1811,3859030
2017-04-03,23.1548,23.1898,22.9296,23.0495,3103949
2017-04-04,22.9267,23.0144,22.8478,22.9355,3077662
2017-04-05,23.0144,23.0407,22.8602,22.8741,3148231
2017-04-06,22.6987,22.7513,22.611,22.6373,3399833
2017-04-07,22.4443,22.5145,22.4005,22.4443,4153132
2017-04-10,22.5847,22.6417,22.5233,22.5671,3296944
2017-04-11,22.6987,22.725,22.4794,22.6636,3213175
2017-04-12,22.725,22.8258,22.6548,22.8127,4351481
2017-04-13,22.7162,22.7952,22.6285,22.6285,2975116
2017-04-17,22.7601,22.8215,22.6899,22.7952,2820300
2017-04-18,22.839,22.8565,22.6548,22.8478,2548612
2017-04-19,22.8829,22.9355,22.6811,22.7162,3111847
2017-04-20,22.725,22.8302,22.6987,22.7425,2141301
2017-04-21,22.7513,22.7688,22.6154,22.6548,2656033
2017-04-24,22.9969,23.1109,22.9793,23.1021,3810205
2017-04-25,23.2074,23.2154,23.0758,23.0934,5025782
2017-04-26,23.1548,23.3039,23.1372,23.2249,3957618
2017-04-27,23.26,23.3126,23.1898,23.2161,3275600
2017-04-28,22.8039,22.9969,22.7118,22.9706,3915477
2017-05-01,23.0144,23.0232,22.9179,22.9881,2580009
2017-05-02,23.1635,23.2863,23.1284,23.2425,3610410
2017-05-03,23.4091,23.4442,23.2293,23.2775,3483818
2017-05-04,23.3126,23.4793,23.1986,23.4617,3008398
2017-05-05,23.6635,23.6985,23.5707,23.6898,4542494
2017-05-08,23.8827,23.8827,23.5757,23.6459,2520933
2017-05-09,23.567,23.6459,23.4354,23.6371,4631443
2017-05-10,23.7512,23.9178,23.6985,23.795,4290069
2017-05-11,23.6284,23.7161,23.567,23.6284,3743041
2017-05-12,24.1195,24.2511,24.0231,24.1897,5331663
2017-05-15,24.0932,24.2686,24.0494,24.1897,2741920
2017-05-16,25.2422,25.3562,25.0492,25.1633,6734544
2017-05-17,25.4176,25.6018,25.286,25.2948,7213333
2017-05-18,25.4176,25.5185,25.3036,25.4439,5801816
2017-05-19,25.5492,25.6193,25.4683,25.593,4601768
2017-05-22,25.9351,26.1368,25.9176,25.9789,5995095
2017-05-23,25.9789,26.014,25.8561,25.8737,3405983
2017-05-24,25.9614,26.0227,25.8912,25.9877,3408379
2017-05-25,26.2421,26.2947,26.1631,26.2333,5698452
2017-05-26,26.0579,26.3034,26.0491,26.2947,7251414
2017-05-30,26.1368,26.2771,26.0973,26.1894,8576714
2017-05-31,26.5227,26.6499,26.3313,26.5403,8448413
2017-06-01,26.6192,26.6367,26.2552,26.3824,4280581
2017-06-02,26.2947,26.4789,26.2157,26.4789,3667652
2017-06-05,26.3824,26.5315,26.3648,26.4701,2577275
2017-06-06,26.2508,26.5052,26.2333,26.4262,3896458
2017-06-07,26.5908,26.6455,26.3446,26.4632,3850074
2017-06-08,26.2808,26.299,26.0984,26.1531,3714678
2017-06-09,26.0254,26.144,25.8613,25.9525,4271670
2017-06-12,26.299,26.4176,26.2534,26.3446,4762274
2017-06-13,26.4996,26.4996,26.3355,26.4358,2391234
